URLID,Frame,Time
1144,00000.jpg,0.0
1144,00001.jpg,0.5
1144,00002.jpg,1.0
1144,00003.jpg,1.5
1144,00004.jpg,2.0
1144,00005.jpg,2.5
1144,00006.jpg,3.0
1144,00007.jpg,3.5
1144,00008.jpg,4.0
1144,00009.jpg,4.5
1144,00010.jpg,5.0
1144,00011.jpg,5.5
1144,00012.jpg,6.0
1144,00013.jpg,6.5
1144,00014.jpg,7.0
1144,00015.jpg,7.5
1144,00016.jpg,8.0
1144,00017.jpg,8.5
1144,00018.jpg,9.0
1144,00019.jpg,9.5
1144,00020.jpg,10.0
1144,00021.jpg,10.5
1144,00022.jpg,11.0
1144,00023.jpg,11.5
1144,00024.jpg,12.0
1144,00025.jpg,12.5
1144,00026.jpg,13.0
1144,00027.jpg,13.5
1144,00028.jpg,14.0
1144,00029.jpg,14.5
1144,00030.jpg,15.0
1144,00031.jpg,15.5
1144,00032.jpg,16.0
1144,00033.jpg,16.5
1144,00034.jpg,17.0
1144,00035.jpg,17.5
1144,00036.jpg,18.0
1144,00037.jpg,18.5
1144,00038.jpg,19.0
1144,00039.jpg,19.5
1144,00040.jpg,20.0
1144,00041.jpg,20.5
1144,00042.jpg,21.0
1144,00043.jpg,21.5
1144,00044.jpg,22.0
1144,00045.jpg,22.5
1144,00046.jpg,23.0
1144,00047.jpg,23.5
1144,00048.jpg,24.0
1144,00049.jpg,24.5
1144,00050.jpg,25.0
